node_id,n_intent,n_extent,intent,extent_songs,epoch_1998_2008,epoch_2009_2015,epoch_2016_2025,n_epochs
20,3,3,Germany + Latvia + Ukraine,2003 · Poland | 2021 · Finland | 2021 · Lithuania,0,0,2,1
22,3,3,Germany + Slovenia + Switzerland,2008 · Serbia | 2017 · Croatia | 2025 · Albania,0,0,2,1
23,3,3,Germany + Iceland + Ireland,2010 · Belgium | 2016 · Poland | 2019 · Norway,0,0,2,1
24,3,3,Germany + Iceland + United Kingdom,2010 · Greece | 2016 · Poland | 2019 · Norway,0,0,2,1
25,3,3,Germany + Latvia + United Kingdom,2011 · Ireland | 2019 · Norway | 2021 · Lithuania,0,0,2,1
26,3,3,Germany + Iceland + Ukraine,2016 · Poland | 2018 · Czech Republic | 2021 · Finland,0,0,3,1
28,3,3,Ireland + Latvia + Ukraine,2021 · Lithuania | 2022 · Lithuania | 2025 · Lithuania,0,0,3,1
42,4,6,Croatia + North Macedonia + Slovenia + Switzerland,2005 · Montenegro | 2008 · Serbia | 2013 · Italy | 2016 · Serbia | 2018 · Serbia,2,0,3,2
21,4,3,Iceland + Ireland + Latvia + United Kingdom,2004 · Sweden | 2006 · Lithuania | 2019 · Norway,2,0,0,1
27,4,3,Germany + Ireland + Ukraine + United Kingdom,2016 · Poland | 2021 · Lithuania | 2022 · Poland,0,0,3,1
0,10,0,Croatia + Germany + Iceland + Ireland + Latvia + North Macedonia + Slovenia + Switzerland + Ukraine + United Kingdom,,0,0,0,0
