lattice,algo,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU
1,hand_drawn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.25,1.0
1,sup_inf_attribute,1.0,0.0006460082218466342,1.0,1.0,0.8698821946411573,0.999177344526842,0.9470565617751565,0.625,1.0,0.2126047621168876,0.4
1,sup_inf_double,1.0,0.0012952442633104595,1.0,1.0,0.8698819356873954,0.9983508754064874,0.947056444562578,0.625,1.0,0.21260466740120304,0.4
1,dim_draw,1.0,1.5700924586837754e-16,1.0,1.0,1.0,0.9999999999999999,1.0,0.625,1.0,0.25,0.4
1,dim_draw_double,1.0,1.5700924586837757e-16,1.0,1.0,0.8698820212634033,1.0,0.9470564832977468,0.625,1.0,0.2126047051335722,0.4
2,hand_drawn,0.75,0.5,1.0,1.0,0.8739280816353336,0.33333333333333337,0.9362234452896203,0.8461538461538461,1.0,0.25,0.6
2,sup_inf_attribute,0.6793719402748072,0.3693679142935902,1.0,1.0,0.9285875860762663,0.39580234164956096,0.8947083067527973,0.8461538461538461,1.0,0.22220801199027607,0.6
2,sup_inf_double,0.679372039220328,0.369367941520811,1.0,1.0,0.928587571928257,0.39562939842084277,0.8947083016581795,0.8461538461538461,1.0,0.22220805497191237,0.6
2,dim_draw,0.5615011254329967,0.4,1.0,1.0,0.8114195153035549,0.5008878885040031,0.8754947639142114,0.8461538461538461,1.0,0.1999999999999999,0.6
2,dim_draw_double,0.6793720398985116,0.3693679523431076,1.0,1.0,0.9285875955572966,0.39611374231243424,0.8947083146152393,0.8461538461538461,1.0,0.22220806230751747,0.6
3,hand_drawn,0.75,0.625,1.0,1.0,0.7881736857080591,0.33333333333333337,0.8381372100012934,0.8461538461538461,1.0,0.25,0.8
3,sup_inf_attribute,0.9400216157849485,0.6179766738414819,1.0,1.0,0.9078103196985089,0.42231032753232467,0.8835518847028875,0.8461538461538461,1.0,0.29419674473540935,0.4
3,sup_inf_double,0.6817315845969774,0.4836256708280787,1.0,1.0,0.9175321034207335,0.5257234572759752,0.8989558868917147,0.8461538461538461,1.0,0.30955313153746633,0.8
3,dim_draw,0.6557505627164986,0.6,1.0,1.0,0.7474464010011093,0.4171106109186682,0.7894051144217746,0.7142857142857143,1.0,0.2,0.6
3,dim_draw_double,0.6923642460283086,0.4843890429041542,1.0,1.0,0.9214253464771344,0.5083020032588281,0.8998872091331798,0.8461538461538461,1.0,0.3055418189361697,0.8
4,hand_drawn,0.5,0.6666666666666666,1.0,1.0,0.8590692997500945,0.4285714285714286,0.782990370500236,0.4444444444444444,1.0,0.3333333333333333,0.6
4,sup_inf_attribute,0.6851956190932299,0.655347697517284,1.0,1.0,0.8378820240414758,0.5830232645255744,0.7881639269884024,0.4444444444444444,1.0,0.25281541410839525,0.6
4,sup_inf_double,0.5465689815892714,0.7046764152704384,1.0,1.0,0.8613405981987154,0.4990538363141708,0.7683784377889521,0.5294117647058824,1.0,0.26060090097690564,0.6
4,dim_draw,0.5,0.8,1.0,1.0,0.8037542076411595,0.4285714285714286,0.7693016669904021,0.4444444444444444,1.0,0.2000000000000001,0.6
4,dim_draw_double,0.5174018556947297,0.7008296293718342,1.0,1.0,0.8662106824342479,0.4777716630842478,0.7710336338940971,0.5294117647058824,1.0,0.2809354189298261,0.6
5,hand_drawn,0.75,0.5,1.0,1.0,0.8739280816353336,0.33333333333333337,0.935121057851215,0.7142857142857143,1.0,0.25,0.6
5,sup_inf_attribute,0.6447052816798429,0.37590398376416206,1.0,1.0,0.9482515734951743,0.42662747626536335,0.9255863438610359,0.7142857142857143,1.0,0.26524912472746515,0.6
5,sup_inf_double,0.6447053176641608,0.37590400226114423,1.0,1.0,0.9482515826394038,0.41847331888714134,0.9255863493492068,0.7142857142857143,1.0,0.26524913097558367,0.6
5,dim_draw,0.5615011254329967,0.4000000000000001,1.0,1.0,0.811419515303555,0.5008878885040029,0.8888372613492967,0.7142857142857143,1.0,0.19999999999999998,0.6
5,dim_draw_double,0.6447052288107799,0.37590395345639915,1.0,1.0,0.9482515658847848,0.42692868550152907,0.9255863350190832,0.7142857142857143,1.0,0.26524911673490503,0.6
6,hand_drawn,0.75,0.75,1.0,1.0,0.9376418836425945,0.125,0.8953381309828916,0.7647058823529411,1.0,0.24253562503633297,0.7142857142857143
6,sup_inf_attribute,0.7185169937303307,0.6861723356145483,1.0,1.0,0.9517285515285756,0.14479631210859178,0.8801073777171344,0.7647058823529411,1.0,0.2741325868491961,0.7142857142857143
6,sup_inf_double,0.7185167240488504,0.6099721301516061,1.0,1.0,0.9517285255003436,0.2702843160039109,0.8801072761429249,0.7647058823529411,1.0,0.27413244290316147,0.5714285714285714
6,dim_draw,0.6557505627164981,0.6666666666666667,1.0,1.0,0.7896265500686627,0.2506659163780024,0.8649177071746188,0.7647058823529411,1.0,0.1666666666666666,0.7142857142857143
6,dim_draw_double,0.7185167487523152,0.6143245899379467,1.0,1.0,0.9517284506295265,0.25777018707693367,0.8801072840129183,0.7647058823529411,1.0,0.27413245744727766,0.5714285714285714
7,hand_drawn,0.5,0.625,1.0,1.0,0.8072353309716164,0.375,0.7738820966282215,0.42857142857142855,1.0,0.25,0.5714285714285714
7,sup_inf_attribute,0.5644723117561998,0.5976324456181206,1.0,1.0,0.8515125788749636,0.5223734040569883,0.8032057830596073,0.5789473684210527,1.0,0.2946012193881398,0.7142857142857143
7,sup_inf_double,0.53914628801563,0.6553579615091418,1.0,1.0,0.8740530492090379,0.4346978630468906,0.8001485708678493,0.42857142857142855,1.0,0.25230852084258687,0.5714285714285714
7,dim_draw,0.5,0.8333333333333336,1.0,1.0,0.731476909740667,0.37310737565980623,0.7441230582787631,0.42857142857142855,1.0,0.16666666666666644,0.5714285714285714
7,dim_draw_double,0.5424408375655648,0.648422112209662,1.0,1.0,0.8734205038204249,0.43226823236477074,0.8010744208769033,0.42857142857142855,1.0,0.2495862687245054,0.5714285714285714
8,hand_drawn,0.625,0.5,1.0,1.0,0.8626300335020142,0.4,0.8249124165652475,0.5,1.0,0.25,0.7142857142857143
8,sup_inf_attribute,0.7902751807910448,0.5498412518506887,1.0,1.0,0.9859209700929589,0.5586641334962754,0.8452233609242573,0.44,1.0,0.30546515264192525,0.8571428571428572
8,sup_inf_double,0.7799301734088937,0.6377858423286239,1.0,1.0,0.929859028983671,0.4908737339466023,0.8442984991314718,0.5652173913043478,1.0,0.3054304685880458,0.4285714285714286
